message_id,conversation_id,timestamp,text,weak_intent
1493327,1493327,Fri Nov 03 10:23:51 +0000 2017,@AmazonHelp request you to process my replacement of @174957  #Nokia6 asap. Ordered on 11-Oct. Still have no clue where is my order.,tracking_delivery_status
1136229,1136229,Sun Oct 15 15:23:24 +0000 2017,"@AmazonHelp Hi if I want to return by Hermes collection it asks for the next working day. If I put this request in now, will it be collected on Monday or Tuesday?",return_refund
2852192,2852192,Mon Nov 27 19:50:55 +0000 2017,"@AmazonHelp Hi, was charged twice for amazon prime and I don't even have it. Help please",payment_unexpected_charge
578404,578404,Sun Dec 03 10:09:56 +0000 2017,@AmazonHelp its very upsetting to say that order delivered is broken and above all its customer responsibility to deliver back. No pickup.,damaged_defective_wrong_item
1323387,1323377,Tue Oct 17 10:47:10 +0000 2017,"@AmazonHelp @115850 no mail rgding solutn bt 4 weting,I nid refund 4 faulty https://t.co/vZOg5p065Z mch I hv 2wet deaftr tmro is Deepawali @115851",damaged_defective_wrong_item
2519248,2519248,Thu Nov 16 00:57:55 +0000 2017,When @115821 and @115817 deliver you the long awaited @678744 book damaged. #crying #neveragain https://t.co/p1dzyCDoOY,damaged_defective_wrong_item
831837,831829,Sat Oct 14 09:07:57 +0000 2017,@AmazonHelp I have checked out the FedEx tracking number but the item hasn’t been delivered on 13 October. Please let me know why.,tracking_delivery_status
849798,849798,Fri Oct 20 14:36:10 +0000 2017,"@AmazonHelp hey, I have paid through cash on delivery and want to return a product. Can I get the refund into my amazon pay balance?",return_refund
481462,481463,Fri Dec 01 14:16:42 +0000 2017,@AmazonHelp Tracking status is “Out for delivery” drilling down says delivery attempted (it was not). https://t.co/I0kqpklouN,tracking_delivery_status
39592,39592,Wed Nov 01 14:53:08 +0000 2017,"Argh, Hey Amazon! WHERE IS MY PACKAGE? Arriving between Nov 1&amp;3 doesn't mean shop Nov. 2 and maybe you'll get it the next day. WTF?",tracking_delivery_status
142942,142942,Fri Nov 24 12:44:39 +0000 2017,@AmazonHelp I can't access my account and the 'reset password' emails aren't being delivered to me. Help?!?,account_access
2675633,2675633,Tue Oct 31 13:41:30 +0000 2017,"@AmazonHelp Also, when I click on Contact Amazon Pay Customer Service &amp; fill out the information I've rec'd the same error message for weeks.",technical_product_issue
1443075,1443076,Sun Nov 26 01:39:29 +0000 2017,"@AmazonHelp i got my account locked (aka suspended) because some scammer bought $500+ with it and apparently now i'm left here to pay for it? i sent an email, got an automatic response so i sent another email just now",account_access
2764460,2764460,Tue Nov 21 08:19:50 +0000 2017,"@AmazonHelp there was a glitch in your system where my order for a limited edition signed copy of @142696 DVD was not able to go through due to a payment issue,tried to change the card,got an error,customer service rep said I had to cancel the order,y did this person not have to? https://t.co/qoR9XA1x3D",order_cancellation_modification
2770661,2770661,Tue Nov 21 12:37:44 +0000 2017,@115821 getting money taken out of my account from an amazon prime membership that I don’t own..,prime_membership_benefit
2919886,2919882,Wed Nov 29 01:37:56 +0000 2017,@AmazonHelp I’ve purchased this item before from amazon.  I went to buy it again so I clicked the Buy it again button.  The app glitched and bought it from a third party seller. The item was not the same.  Now I’m having an awful time returning the item.,seller_marketplace
2526202,2526203,Thu Nov 16 04:12:44 +0000 2017,"@AmazonHelp Refund time frames?? Am I a mug? You're moving mad, big up ^EA you're probably a nice geez but Amazon, safe. I'm cancelling my prime membership.",prime_membership_benefit
2154173,2154174,Mon Nov 20 16:17:41 +0000 2017,"@AmazonHelp There is nothing and what is the solution? I got a call from this no +91 90828 49668 around 8.30 pm. I have paid for prime membership and have paid again for timely delivery as well, still the commitment was not honoured.",prime_membership_benefit
2539637,2539637,Thu Nov 16 10:26:39 +0000 2017,"@AmazonHelp 4 out of my last 4 orders had problems. starting to lose faith in @115830 1 damaged, 2 didn't even attempt delivery and 1 item not as described. 2 hours wasted chatting to support execs online to try resolve it. disillusioned to say the least.",damaged_defective_wrong_item
1752495,1752495,Tue Nov 07 18:24:33 +0000 2017,Used @116316 to buy a phone. It was faulty. Returns process taking forever with no sign of refund. Why didn't I just buy in-store... ☹️,damaged_defective_wrong_item
1585018,1585014,Wed Oct 18 17:27:06 +0000 2017,"@AmazonHelp I have not received anything and yes your customer support says, there is no help center for Amazon seller,how can it be so pathetic service",seller_marketplace
318432,318432,Sat Oct 07 08:02:57 +0000 2017,@115850 After so many follow up got to know package damaged and returned but still not updated records https://t.co/qYeBnEtfOX,damaged_defective_wrong_item
1363164,1363164,Fri Oct 27 20:29:48 +0000 2017,@AmazonHelp why am I unable to cancel an order which has not yet been shipped? https://t.co/YXJy4ushZ2,order_cancellation_modification
2588704,2588704,Mon Oct 30 18:40:27 +0000 2017,@117634 do you guys know that 'buy now with 1-click' is broken on the latest android app? Button does nothing when pressed,damaged_defective_wrong_item
390785,390785,Mon Oct 09 15:39:30 +0000 2017,"@AmazonHelp Yes, and it's a 3 day delivery instead of 2 days. I am a prime member and expect prime shipping.",prime_membership_benefit
1141942,1141942,Tue Oct 24 15:30:27 +0000 2017,@AmazonHelp I have checked my email the mail is related to prime membership nothing related to my order. Spare  your customer from dis hassle,prime_membership_benefit
2230567,2230567,Thu Oct 19 15:27:05 +0000 2017,@AmazonHelp i can't login on the web browser but the app allows me to login i get a message saying i need to provet that it is me,account_access
1193423,1193423,Wed Oct 25 01:14:08 +0000 2017,@AmazonHelp My Order Id: 403-1564584-4573924.i want to return this item and refund against this product,return_refund
1746099,1746100,Tue Nov 07 15:28:28 +0000 2017,"@AmazonHelp Lors de la commande le 7nov, modification d'adresse de livraison (ds même ville) ça passe au 9nov. Pas de tracking number &amp; prime 🤔",tracking_delivery_status
2878700,2878700,Tue Nov 28 07:17:01 +0000 2017,@115850 Very disappointed with damaged product received and no one is ready to take the onus .. Shame AMZON,damaged_defective_wrong_item
920950,920950,Fri Oct 13 17:50:12 +0000 2017,@115821 have locked me out of my account. I can only contact them if I login! I can't login! #annoying,account_access
2292683,2292683,Sat Nov 11 22:21:00 +0000 2017,"@AmazonHelp I have a problem i have reset my password but i have the msg ""Your password is incorect "" can you help me ?",account_access
1479442,1479442,Fri Nov 03 06:28:29 +0000 2017,@115850 The wrong item was delivered on my order not once but TWICE. Order # 408-9271797-1781967 When do I get my refund???,damaged_defective_wrong_item
424047,424047,Tue Oct 10 11:11:41 +0000 2017,@AmazonHelp My card details are stored at Amazon.in and I never gave consent to use it for https://t.co/2vmbgN1udJ's prime membership 2/3,prime_membership_benefit
546436,546436,Sat Dec 02 17:31:14 +0000 2017,@AmazonHelp The tracking number is nowhere to be found 🙄,tracking_delivery_status
1648231,1648231,Tue Oct 17 13:44:57 +0000 2017,What amazon prime subscription means when products marked with prime label also get delivered in 4-5 days? @115850 #wasteofmoney,prime_membership_benefit
2219983,2219983,Fri Nov 10 13:03:29 +0000 2017,@AmazonHelp Still says: 'Parcel has been handed over to the carrier and is in transit' so either the tracking information hasn't been updated or the local carrier doesn't even have it yet.,tracking_delivery_status
901521,901521,Sat Oct 21 00:04:13 +0000 2017,@AmazonHelp I want a refund!!!!,return_refund
1932444,1932444,Wed Oct 18 14:49:51 +0000 2017,@115850 package is late despite paying extra for early delivery. So do you guys just charge extra for nothing? Order # 405-4472347-6658704,delivery_delay
1052385,1052385,Mon Oct 23 08:35:55 +0000 2017,"Dear @115850, why does it say that my order was delivered and signed by me when I wasn't even home :-/ Where IS my order? #unhappy",tracking_delivery_status
1622639,1622639,Sun Nov 05 17:13:41 +0000 2017,@AmazonHelp how can i cancel an order while my account is blocked?,order_cancellation_modification
2291296,2291296,Sun Nov 12 10:29:14 +0000 2017,@115821 you guys have sent me the wrong item twice in a row,damaged_defective_wrong_item
2745903,2745903,Mon Nov 20 22:15:23 +0000 2017,"@AmazonHelp Well, technically it's supposed to arrive between November 22 and December 5, but the delivery status has been saying ""Arriving today by 8pm"" for about three days.",tracking_delivery_status
